"section","key","label","status","count"
"request_status","","","awaiting_approval","2"
"request_status","","","fulfilled","6"
"request_status","","","fulfillment_failed","1"
"request_status","","","in_fulfillment","2"
"request_status","","","rejected","1"
"catalog_item","bank-app-access","Kritik Uygulama Erişimi","","6"
"catalog_item","branch-device","Şube Çalışanı Cihazı","","6"
"commitment_status","ola","","met","6"
"commitment_status","ola","","running","3"
"commitment_status","resolution","","cancelled","1"
"commitment_status","resolution","","met","6"
"commitment_status","resolution","","paused","2"
"commitment_status","resolution","","running","3"
"commitment_status","response","","cancelled","1"
"commitment_status","response","","met","9"
"commitment_status","response","","paused","2"
